lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.93978,40.68523,0.141,0.174,0.372,0.497,0.679,0.866,0.26,0.32,0.73,1.04,1.55,1.96,0.14,0.17,0.42,0.6,0.86,1.11,0.08,0.09,0.22,0.32,0.46,0.6,0.05,0.06,0.13,0.19,0.28,0.37
22.93978,40.67523,0.147,0.181,0.388,0.519,0.711,0.896,0.28,0.34,0.78,1.08,1.6,2.06,0.15,0.18,0.45,0.64,0.92,1.2,0.08,0.1,0.24,0.35,0.5,0.66,0.05,0.06,0.15,0.21,0.31,0.41
22.94978,40.70523,0.143,0.177,0.372,0.5,0.731,0.943,0.27,0.33,0.76,1.1,1.58,1.99,0.14,0.17,0.43,0.6,0.89,1.14,0.08,0.09,0.23,0.32,0.48,0.63,0.05,0.06,0.14,0.2,0.29,0.38
22.94978,40.69523,0.143,0.176,0.372,0.498,0.705,0.904,0.27,0.33,0.75,1.08,1.58,1.97,0.14,0.17,0.42,0.6,0.87,1.14,0.08,0.09,0.23,0.32,0.47,0.62,0.05,0.06,0.14,0.2,0.29,0.38
22.94978,40.68523,0.142,0.175,0.372,0.499,0.701,0.888,0.27,0.33,0.74,1.06,1.56,1.97,0.14,0.17,0.42,0.6,0.87,1.14,0.08,0.09,0.23,0.32,0.47,0.62,0.05,0.06,0.14,0.2,0.29,0.38
22.94978,40.67523,0.142,0.174,0.373,0.5,0.687,0.881,0.26,0.32,0.74,1.04,1.56,1.97,0.14,0.17,0.42,0.6,0.87,1.13,0.08,0.09,0.23,0.32,0.47,0.62,0.05,0.06,0.14,0.2,0.28,0.37
22.95978,40.70523,0.145,0.179,0.374,0.513,0.76,0.986,0.27,0.33,0.77,1.11,1.58,2.01,0.14,0.17,0.43,0.6,0.9,1.16,0.08,0.09,0.23,0.32,0.49,0.64,0.05,0.06,0.14,0.2,0.29,0.39
22.95978,40.69523,0.144,0.177,0.373,0.501,0.729,0.94,0.27,0.33,0.76,1.1,1.58,2,0.14,0.17,0.43,0.6,0.9,1.15,0.08,0.09,0.23,0.32,0.48,0.63,0.05,0.06,0.14,0.2,0.29,0.38
22.95978,40.68523,0.143,0.176,0.373,0.5,0.708,0.906,0.27,0.33,0.75,1.08,1.58,1.99,0.14,0.17,0.42,0.6,0.88,1.14,0.08,0.09,0.23,0.32,0.48,0.63,0.05,0.06,0.14,0.2,0.29,0.38
22.95978,40.67523,0.143,0.175,0.374,0.502,0.706,0.896,0.27,0.33,0.75,1.06,1.58,1.99,0.14,0.17,0.42,0.6,0.88,1.14,0.08,0.09,0.23,0.32,0.48,0.63,0.05,0.06,0.14,0.2,0.29,0.38
22.96978,40.70523,0.146,0.18,0.377,0.525,0.78,1.01,0.27,0.34,0.78,1.12,1.59,2.02,0.14,0.17,0.44,0.61,0.91,1.17,0.08,0.09,0.23,0.33,0.49,0.64,0.05,0.06,0.14,0.2,0.3,0.39
22.96978,40.69523,0.145,0.179,0.374,0.504,0.746,0.966,0.27,0.33,0.77,1.11,1.59,2.01,0.14,0.17,0.43,0.6,0.9,1.16,0.08,0.09,0.23,0.32,0.49,0.64,0.05,0.06,0.14,0.2,0.29,0.39
22.96978,40.68523,0.144,0.178,0.374,0.502,0.719,0.927,0.27,0.33,0.76,1.1,1.59,2.01,0.14,0.17,0.43,0.6,0.9,1.15,0.08,0.09,0.23,0.32,0.48,0.64,0.05,0.06,0.14,0.2,0.29,0.39
22.95978,40.66523,0.113,0.138,0.294,0.392,0.55,0.713,0.2,0.25,0.56,0.8,1.19,1.51,0.09,0.11,0.28,0.4,0.58,0.76,0.05,0.06,0.15,0.21,0.3,0.4,0.03,0.04,0.09,0.12,0.18,0.24
22.96978,40.67523,0.114,0.139,0.295,0.396,0.559,0.715,0.2,0.25,0.57,0.81,1.19,1.52,0.09,0.11,0.28,0.4,0.59,0.77,0.05,0.06,0.15,0.21,0.31,0.41,0.03,0.04,0.09,0.13,0.18,0.24
22.96978,40.66523,0.11,0.135,0.287,0.384,0.542,0.695,0.2,0.24,0.55,0.78,1.15,1.47,0.09,0.11,0.27,0.38,0.56,0.73,0.05,0.06,0.14,0.2,0.29,0.38,0.03,0.03,0.08,0.12,0.17,0.23
22.96978,40.65523,0.111,0.136,0.287,0.385,0.544,0.696,0.2,0.24,0.55,0.79,1.15,1.47,0.09,0.11,0.27,0.38,0.56,0.73,0.05,0.06,0.14,0.2,0.29,0.39,0.03,0.04,0.08,0.12,0.17,0.23
22.97978,40.67523,0.111,0.136,0.287,0.385,0.547,0.707,0.2,0.24,0.56,0.79,1.16,1.47,0.09,0.11,0.27,0.38,0.57,0.73,0.05,0.06,0.14,0.2,0.3,0.39,0.03,0.03,0.08,0.12,0.17,0.23
22.97978,40.66523,0.111,0.136,0.287,0.386,0.547,0.701,0.2,0.24,0.55,0.79,1.16,1.47,0.09,0.11,0.27,0.38,0.56,0.73,0.05,0.06,0.14,0.2,0.29,0.39,0.03,0.04,0.08,0.12,0.17,0.23
